passer,Avg. TD yardage,TDs
D.Prescott,27.56,9
T.Bridgewater,25.57,14
J.Flacco,25.17,6
S.Darnold,24.8,5
J.Garoppolo,22.14,7
D.Watson,22.04,25
J.Herbert,21.6,25
D.Jones,19.25,8
D.Carr,19.0,24
B.Roethlisberger,18.76,29
P.Mahomes,18.67,33
K.Murray,18.04,23
K.Cousins,16.89,27
R.Wilson,16.89,36
M.Ryan,16.63,19
P.Rivers,16.4,20
J.Goff,16.28,18
A.Rodgers,15.64,39
R.Tannehill,15.48,29
D.Lock,15.38,13
M.Stafford,15.23,22
L.Jackson,14.78,18
C.Wentz,14.62,16
N.Foles,14.6,10
D.Brees,13.44,18
B.Mayfield,13.3,23
C.Newton,13.2,5
J.Allen,12.43,28
G.Minshew II,11.71,14
T.Brady,11.6,30
A.Dalton,11.11,9
N.Mullens,10.7,10
R.Fitzpatrick,9.67,12
M.Trubisky,8.92,13
T.Tagovailoa,8.0,9
J.Burrow,7.69,13
